Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
53	-147.66896	27.462437	-105.37086	-199.85101	-135.74995	18.562004	-90.53515	-162.60632	110.0	110.0	87449	-258.80182	19.3843	-216.25563	-336.6419	-258.80182	19.38602	-216.29579	-337.52756	0.3931563	1.5574137	8.315666	-9.42791	257.97086	2.14178	910.7179410457611
54	-135.08948	20.371086	-99.91485	-165.89366	-131.3453	29.857811	-93.13624	-182.86278	110.0	110.0	89099	-258.81967	19.323475	-216.17618	-335.86386	-258.81943	19.323668	-216.16652	-336.9574	0.39044	1.5585574	8.243666	-11.122295	257.99118	2.145696	927.3414056301117
55	-150.50726	31.117798	-88.58281	-199.24829	-126.78424	20.387566	-96.61664	-153.27106	110.0	110.0	90749	-258.80917	19.497004	-216.2159	-339.01926	-258.8093	19.497717	-215.9937	-340.09695	0.37912712	1.5541707	8.083212	-12.438086	257.9932	2.1908638	945.3240447044373
56	-139.4297	19.341578	-105.21899	-177.07645	-129.32457	26.805483	-99.34609	-174.90062	110.0	110.0	92399	-258.80518	19.479681	-216.36649	-339.46472	-258.805	19.480827	-216.1825	-339.9038	0.37850708	1.5435799	7.805343	-11.001357	258.00217	2.1654086	962.2515316009521
57	-149.08485	32.89484	-98.497795	-207.27579	-123.80121	34.831768	-66.21204	-171.1607	110.0	110.0	94049	-258.66605	19.554625	-216.23466	-339.10538	-258.66586	19.555687	-216.29147	-339.7734	0.3648068	1.5329003	8.74021	-11.484649	257.87122	2.1135225	984.1602602005005
58	-139.38078	21.351435	-105.763435	-190.52513	-135.8231	24.560694	-99.01339	-178.60193	110.0	110.0	95699	-258.64218	19.58391	-215.89879	-339.22656	-258.64206	19.586065	-215.63896	-339.559	0.36446282	1.5410976	8.190153	-10.175286	257.86	2.196577	1001.9931228160858
59	-137.68242	23.257544	-101.85014	-173.8163	-131.45035	20.864187	-94.09412	-170.57024	110.0	110.0	97349	-258.28644	19.692755	-215.8766	-340.4244	-258.28632	19.693811	-215.7825	-341.5371	0.36655948	1.53459	8.645407	-9.428206	257.4993	2.1925426	1018.9484677314758
60	-139.63213	30.657167	-99.07188	-193.73642	-140.39044	26.623299	-85.872894	-184.30174	110.0	110.0	98999	-257.9864	19.723372	-215.45944	-344.7441	-257.98627	19.72433	-214.87115	-345.1669	0.34578887	1.524862	8.018305	-9.976224	257.22388	2.171942	1035.7118654251099
61	-140.21986	25.27406	-75.88904	-168.83693	-131.86868	20.56446	-95.93706	-170.6633	110.0	110.0	100649	-257.48108	19.820137	-214.31651	-342.8491	-257.481	19.821419	-214.12337	-342.58228	0.35613286	1.5189501	8.35887	-10.0189	256.72287	2.21671	1052.8909106254578
62	-138.9301	27.213903	-94.95513	-187.1756	-124.02041	32.258842	-46.239895	-158.19562	110.0	110.0	102299	-257.09665	19.971087	-214.24275	-344.07483	-257.09653	19.972902	-213.76543	-344.1991	0.34942463	1.5219578	8.198001	-9.628379	256.34653	2.2151136	1069.3237388134003
63	-139.07866	26.096495	-95.37978	-207.23836	-129.04996	35.553776	-67.07456	-194.82188	110.0	110.0	103949	-256.56635	20.027376	-213.05452	-343.03268	-256.56613	20.029589	-212.57372	-342.73645	0.35060245	1.5147182	8.536833	-10.111653	255.82462	2.2148814	1085.5504219532013
64	-134.97662	21.255781	-98.917854	-177.62283	-128.15276	22.517681	-97.25144	-168.56992	110.0	110.0	105599	-256.1525	20.108875	-212.05675	-343.34683	-256.15234	20.110342	-212.14133	-343.46213	0.3520834	1.5162861	8.34776	-11.344418	255.41382	2.2569404	1101.9390811920166
65	-148.62566	21.744574	-102.90706	-189.47934	-141.39777	21.84624	-108.70436	-174.56168	110.0	110.0	107249	-255.42242	20.205713	-210.8945	-343.87122	-255.42235	20.206947	-210.93192	-343.72983	0.33716685	1.5127798	8.751582	-10.458074	254.7084	2.2485387	1118.489667892456
66	-130.81989	27.011168	-83.90075	-180.05055	-109.22591	32.998566	-63.48125	-176.65898	110.0	110.0	108899	-254.76315	20.326273	-210.0972	-344.42822	-254.76308	20.32875	-210.15395	-345.12033	0.3488245	1.5147588	8.174896	-8.961684	254.04686	2.216817	1134.3483777046204
67	-134.99924	30.382143	-79.42153	-180.2537	-124.99408	28.513737	-56.04397	-160.92087	110.0	110.0	110549	-253.96112	20.495958	-208.3599	-344.48175	-253.96083	20.49779	-208.90033	-345.58997	0.33246583	1.5111251	7.910931	-9.834349	253.257	2.2776902	1150.5015258789062
68	-127.81629	25.577559	-85.34614	-174.51805	-127.536705	16.9157	-103.07278	-152.16537	110.0	110.0	112199	-253.34947	20.623095	-207.58804	-342.59888	-253.34947	20.624771	-207.13577	-343.1822	0.3353868	1.5000875	8.158104	-11.351584	252.6451	2.2750173	1166.6359961032867
69	-138.50291	29.177504	-101.25944	-200.67775	-136.24069	20.712345	-102.38726	-171.54865	110.0	110.0	113849	-252.68875	20.78997	-206.60483	-342.14795	-252.68849	20.791716	-206.74359	-342.14285	0.33635274	1.499383	8.532268	-9.357618	251.9872	2.2708364	1182.285499572754
70	-126.88679	20.592257	-87.34649	-170.3161	-125.19208	32.386436	-70.735245	-182.36797	110.0	110.0	115499	-251.68616	20.891365	-205.2875	-345.38104	-251.68575	20.89392	-205.16028	-346.14383	0.32786912	1.4897594	8.371785	-10.539071	251.01036	2.2759666	1198.459234237671
71	-138.14027	23.87787	-84.045654	-174.34442	-133.4788	25.868872	-92.724045	-183.41258	110.0	110.0	117149	-250.85403	21.126257	-204.37865	-342.62567	-250.85365	21.128162	-204.517	-343.43488	0.3366503	1.4830612	8.850235	-10.393244	250.16588	2.2787035	1214.338805437088
72	-129.13353	29.65024	-82.63874	-193.2721	-129.07419	26.443361	-79.13203	-163.80685	110.0	110.0	118799	-250.10413	21.28181	-203.48357	-345.83832	-250.10396	21.283777	-203.43402	-347.0618	0.3336757	1.4966719	9.861727	-9.424391	249.4257	2.30334	1230.3251221179962
73	-127.04035	30.886086	-78.94253	-176.16089	-113.5813	24.326694	-68.02106	-144.05391	110.0	110.0	120449	-249.09886	21.463362	-202.16531	-343.81998	-249.09889	21.464737	-202.41505	-346.15973	0.34483013	1.495634	8.406378	-9.476093	248.41148	2.3464217	1244.2290065288544
