Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
36	-4346.3003	3615.7212	-479.52853	-13584.504	-3151.8667	3475.2595	-107.75038	-12749.866	400.0	400.0	215999	-12344.866	5038.068	-3868.6497	-32966.008	-12344.934	5037.83	-3883.8652	-33037.363	3.9376438	2.7074027	53.435257	-9.443214	12336.981	3751.7434	1604.91921377182
37	-3326.194	1883.0809	-637.8341	-8366.437	-2786.304	1739.64	-560.3846	-7164.81	400.0	400.0	221999	-12544.214	5192.919	-3847.3015	-33601.645	-12544.275	5192.699	-3829.5002	-33704.902	3.8933036	2.727436	54.346592	-10.391671	12536.541	3685.0645	1650.742800951004
38	-3920.517	2354.1938	-452.74103	-8341.965	-3598.575	2864.9888	-571.89435	-11051.813	400.0	400.0	227999	-12732.83	5327.3223	-3861.5857	-34236.035	-12732.906	5327.0835	-3807.859	-34324.977	3.8734372	2.6958673	56.47161	-10.1348095	12725.19	3555.8513	1696.5457818508148
39	-3292.9292	3182.5708	-227.24811	-13155.539	-3736.6387	2100.8403	-1070.6522	-7005.3784	400.0	400.0	233999	-12951.552	5430.308	-3839.8013	-34825.12	-12951.615	5430.0684	-3796.837	-34846.766	3.8885374	2.721951	51.33843	-9.293654	12943.511	3471.5283	1742.4668653011322
40	-3949.4507	2245.7373	-1215.9551	-9270.549	-3782.433	3040.9548	-670.9953	-11031.091	400.0	400.0	239999	-13138.675	5578.0625	-3770.6733	-35611.066	-13138.741	5577.8447	-3769.8684	-35687.04	3.8845959	2.7730353	60.12399	-9.435116	13130.966	3426.6553	1788.7009279727936
41	-3264.5454	2252.4617	-356.64792	-8921.842	-4128.687	2853.3962	-134.94643	-7818.6685	400.0	400.0	245999	-13353.061	5728.8086	-3744.215	-36256.867	-13353.125	5728.6055	-3732.9612	-36335.145	3.9307892	2.8614857	74.915634	-12.013366	13345.212	3329.7773	1833.4803214073181
42	-3791.6611	2336.91	-719.6349	-8825.143	-3825.1785	3611.0515	-892.78955	-10997.182	400.0	400.0	251999	-13505.587	5808.2305	-3734.2732	-36947.78	-13505.639	5808.0566	-3741.2947	-36945.332	3.9349804	2.887247	55.842094	-9.689484	13497.974	3260.8328	1878.4528732299805
43	-4301.8506	4013.3416	-618.2623	-14273.566	-3891.98	3468.3923	-642.1349	-12129.408	400.0	400.0	257999	-13719.835	5962.4746	-3687.9446	-40698.758	-13719.885	5962.295	-3691.3047	-40618.836	3.9482508	2.906792	60.19838	-8.946824	13712.264	3233.874	1921.7817673683167
44	-4122.724	4538.52	-951.5975	-15628.152	-2591.1765	1581.1112	-285.05576	-6134.544	400.0	400.0	263999	-13855.309	6143.3257	-3657.3577	-41474.445	-13855.36	6143.1685	-3662.7756	-41456.773	3.8772016	2.9056048	64.85725	-12.387829	13848.354	3166.96	1967.9627492427826
45	-3406.8235	2762.6055	-502.1436	-9388.965	-4536.8467	3480.2874	-86.02389	-12207.992	400.0	400.0	269999	-14017.961	6300.5576	-3630.5994	-42296.227	-14018.005	6300.392	-3621.2124	-42304.965	3.8677347	2.9213908	60.57358	-9.921388	14011.288	3209.6758	2014.1649498939514
