Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
48	-842.1848	434.1861	-101.129524	-1424.3783	-924.80304	385.99335	-437.13403	-1631.4707	110.0	110.0	79199	-355.55127	443.25836	453.52652	-2952.7578	-355.54892	443.3626	463.62305	-2992.8516	4.1545463	2.8475137	35.087296	-8.893539	347.7275	2601.2776	1036.4454145431519
49	-976.9499	683.47253	-196.8843	-2540.228	-1032.7102	782.88275	-237.81488	-2775.0479	110.0	110.0	80849	-307.09827	470.18942	560.1577	-3317.9749	-307.10358	470.20663	551.6081	-3343.391	4.159417	2.8726208	45.958553	-7.5493927	298.8888	2634.3752	1060.0495474338531
50	-1148.888	458.6035	-244.7411	-1937.2642	-815.37335	354.63324	-96.99619	-1318.6193	110.0	110.0	82499	-304.89716	467.58792	512.6	-3369.374	-304.90186	467.5559	520.67126	-3255.205	4.123833	2.8525937	33.734478	-8.44709	297.31836	2646.318	1083.0372354984283
51	-696.29114	395.90573	-244.92567	-1858.288	-922.02325	408.85703	-431.9466	-1830.2102	110.0	110.0	84149	-316.65268	460.39313	507.8681	-3343.54	-316.64578	460.32437	524.3843	-3194.8096	4.116479	2.781825	34.1859	-8.547939	309.6035	2634.509	1106.0852530002594
52	-790.92847	390.34967	-188.5598	-1578.528	-851.9259	405.26154	-330.86307	-1586.6018	110.0	110.0	85799	-318.00043	451.06244	551.85815	-3468.1062	-317.9953	450.99356	555.9159	-3339.8994	4.105075	2.7639456	39.499897	-7.482972	310.56046	2648.6433	1129.0071847438812
53	-819.91754	417.6812	-136.15518	-1748.4906	-826.9375	437.7219	-262.30746	-1568.9836	110.0	110.0	87449	-292.85577	442.91025	622.1747	-3251.5596	-292.84113	442.8775	624.2862	-3271.9666	4.097785	2.7615516	40.497646	-9.149165	285.6474	2543.9746	1151.9506459236145
54	-1548.3807	832.90125	-376.53146	-3228.978	-659.9912	282.7139	-336.96	-1133.4053	110.0	110.0	89099	-325.1261	438.79785	560.08734	-3221.8826	-325.12573	438.732	575.9447	-3120.3257	4.0820866	2.8002536	34.443203	-6.786236	318.1316	2572.5059	1175.1114177703857
55	-1308.9269	743.51154	-104.81663	-2754.5923	-857.276	376.02216	-176.76094	-1477.3768	110.0	110.0	90749	-322.18445	443.45175	545.9594	-3351.5308	-322.20483	443.39053	547.73615	-3179.8325	4.103566	2.877041	38.342194	-7.2111964	315.1658	2592.9595	1198.3231346607208
56	-1005.72144	513.38745	-198.50986	-1981.8627	-866.1782	733.4651	-55.100014	-2257.967	110.0	110.0	92399	-304.14603	439.5606	520.21765	-3162.4744	-304.1353	439.46634	508.40213	-3081.5713	4.0997057	2.8681161	44.757454	-11.658034	297.07217	2601.48	1221.5153276920319
57	-1130.6459	624.47284	-34.902596	-2223.2405	-1029.778	613.8713	-241.89975	-1923.5616	110.0	110.0	94049	-251.71477	462.92026	696.9384	-3076.4775	-251.72374	462.86133	699.15906	-2994.4412	4.126012	2.9272184	37.525146	-10.574005	243.9086	2548.7231	1244.471741437912
